trail_id,trail_name,national_park,state,popularity,length,elevation,difficulty,route_type,rating,num_reviews,trailhead_lat,trailhead_long
10259171,Lamar River Trail,Yellowstone National Park,Wyoming,6.1,32.9,1098.8,3,out and back,4.0,7,44.86912,-110.16671
10041075,Madison Junction to Norris Drive,Yellowstone National Park,Wyoming,6.1,13.3,315.8,3,point to point,4.5,16,44.6454,-110.85848
10275883,Yellowstone River Overlook Trail via Yellowstone Picnic Ground Trailhead,Yellowstone National Park,Wyoming,6.1,3.2,143.9,1,out and back,4.5,18,44.91681,-110.40055
10259160,Hayden Valley Trail,Yellowstone National Park,Wyoming,6.0,13.6,326.7,5,point to point,4.5,6,44.56523,-110.37464
10302331,Fairy Falls Lollipop Trail,Yellowstone National Park,Wyoming,6.0,8.6,73.8,3,loop,4.0,16,44.56715,-110.8352
10346251,Death Canyon and Phelps Lake Loop,Grand Teton National Park,Wyoming,6.0,7.6,389.8,3,loop,5.0,18,43.65578,-110.78109
10259195,Terrace Mountain Trail,Yellowstone National Park,Wyoming,6.0,6.7,262.7,3,loop,4.5,19,44.93221,-110.72802
10037996,Cunningham Cabin,Grand Teton National Park,Wyoming,5.9,0.2,1.8,1,loop,4.5,8,43.77771,-110.55751
10035403,Duck Lake Trail,Yellowstone National Park,Wyoming,5.8,0.9,46.9,3,out and back,3.5,19,44.41623,-110.57513
10028278,Pelican Creek Nature Trail,Yellowstone National Park,Wyoming,5.7,0.7,4.9,1,loop,3.5,12,44.56017,-110.36061
10272434,Seven Mile Hole to Mount Washburn Spur,Yellowstone National Park,Wyoming,5.7,11.1,876.9,3,point to point,4.5,12,44.72957,-110.47261
10036192,North South Highway: Moose to Rockefeller Parkway,Grand Teton National Park,Wyoming,5.6,38.7,623.9,1,point to point,5.0,14,43.65573,-110.71829
10003305,Mary Mountain-Nez Perce Trail,Yellowstone National Park,Wyoming,5.5,20.0,436.8,5,point to point,4.0,18,44.56985,-110.81633
10011667,Mallard Lake Trail,Yellowstone National Park,Wyoming,5.5,7.3,271.9,3,out and back,3.5,22,44.45828,-110.82592
10268856,Blacktail Butte Trail,Grand Teton National Park,Wyoming,5.4,7.3,528.8,5,out and back,4.5,18,43.62641,-110.66468
10030535,Tower-Roosevelt to Canyon Village Drive,Yellowstone National Park,Wyoming,5.4,17.6,966.8,3,point to point,4.5,10,44.91601,-110.41562
10031080,Black Canyon Trail,Yellowstone National Park,Wyoming,5.3,12.9,641.9,3,point to point,5.0,7,44.94903,-110.45043
10003432,Emma Matilda Lake Trail,Grand Teton National Park,Wyoming,5.3,11.0,297.8,3,loop,4.0,16,43.87812,-110.5727
10293007,Solitary Geyser,Yellowstone National Park,Wyoming,5.2,1.6,50.0,3,loop,4.5,18,44.45921,-110.82631
10018504,West Yellowstone to Jackson Scenic Drive,Yellowstone National Park,Wyoming,5.1,124.4,2373.8,1,point to point,4.5,16,44.65882,-111.09744
10006242,Dunraven Pass to Mount Washburn,Yellowstone National Park,Wyoming,5.1,6.8,424.9,5,out and back,4.5,321,44.78482,-110.45348
10235797,Heart Lake and the Snake River Trails,Yellowstone National Park,Wyoming,5.0,24.0,421.8,5,point to point,4.0,9,44.31743,-110.59815
10010076,Grebe Lake Trail,Yellowstone National Park,Wyoming,5.0,6.5,47.9,1,out and back,4.0,16,44.71791,-110.5497
10034914,Fishing Bridge to West Thumb Scenic Drive,Yellowstone National Park,Wyoming,4.9,20.3,332.8,1,point to point,4.0,13,44.56789,-110.38482
10235709,Yellowstone River Trail,Yellowstone National Park,Wyoming,4.8,17.1,593.8,5,point to point,5.0,4,44.94884,-110.45101
10042943,Lewis Lake Campground,Yellowstone National Park,Wyoming,4.8,1.1,19.8,1,loop,4.5,4,44.28293,-110.62774
10041079,Lewis Lake Trail,Yellowstone National Park,Wyoming,4.7,8.2,108.8,3,out and back,5.0,4,44.32004,-110.59952
10000759,Wolf Lake Trail,Yellowstone National Park,Wyoming,4.7,6.9,228.0,1,out and back,4.0,9,44.71279,-110.62718
10000049,Rendezvous Mountain Trail,Grand Teton National Park,Wyoming,4.7,6.9,609.0,5,out and back,4.5,10,43.59695,-110.87107
10258649,Lookout Rock Trail,Grand Teton National Park,Wyoming,4.6,4.4,114.0,3,loop,3.5,11,43.87804,-110.5724
10302330,Sentinel Meadows to Queen's Laundry,Yellowstone National Park,Wyoming,4.6,4.7,45.7,3,loop,4.0,6,44.56764,-110.83503
10331260,Norris Campground to Norris Basin Loop,Yellowstone National Park,Wyoming,4.5,3.6,75.9,3,loop,4.5,12,44.73719,-110.6978
10034913,Christian Pond Trail,Grand Teton National Park,Wyoming,4.5,3.5,61.9,3,loop,3.5,26,43.87811,-110.57261
10405033,Firehole Falls via Little Firehole Trail,Yellowstone National Park,Wyoming,4.5,10.1,438.0,3,out and back,4.5,6,44.48502,-110.85241
10259164,Wapiti Lake Trail,Yellowstone National Park,Wyoming,4.5,31.3,946.7,5,out and back,5.0,4,44.70793,-110.50053
10259202,Electric Peak Trail,Yellowstone National Park,Wyoming,4.5,18.3,1255.8,7,out and back,5.0,9,44.9322,-110.72797
10038005,Pebble Creek Trail To Bliss Pass,Yellowstone National Park,Wyoming,4.4,25.9,1777.0,5,out and back,5.0,6,44.91591,-110.10925
10259093,Heart Lake Loop Trail,Yellowstone National Park,Wyoming,4.4,32.0,739.7,3,loop,4.5,5,44.31735,-110.59824
10111226,Bighorn Pass Trail from Indian Creek Campground,Yellowstone National Park,Wyoming,4.4,19.2,611.7,3,point to point,5.0,5,44.88254,-110.73509
10471906,Hidden Falls via String Lake Trail,Grand Teton National Park,Wyoming,4.3,4.6,143.9,1,out and back,4.5,6,43.78482,-110.72815
10426291,"Artist's Point, Lily Pad Lake, and Clear Lake Loop",Yellowstone National Park,Wyoming,4.3,3.3,98.8,1,loop,4.0,10,44.71984,-110.48023
10258684,Yellowstone River Overlook Trail,Yellowstone National Park,Wyoming,4.3,4.6,194.8,1,out and back,4.5,3,44.92215,-110.40052
10463643,Bradley and Taggart Lakes via Valley Trail and Lupine Meadows,Grand Teton National Park,Wyoming,4.3,10.3,493.8,3,out and back,4.5,7,43.73472,-110.74143
10037998,Uncle Tom's Trail [CLOSED],Yellowstone National Park,Wyoming,4.2,0.6,116.7,1,out and back,4.0,132,44.71522,-110.49621
10111255,Boundary Creek to Buffalo Lake Trail,Yellowstone National Park,Wyoming,4.2,33.6,653.8,3,out and back,5.0,3,44.14896,-111.0481
10016119,Mount Sheridan Trail,Yellowstone National Park,Wyoming,4.2,22.4,1293.0,7,out and back,4.5,5,44.31741,-110.59824
10341017,Cave Falls to Bechler Falls,Yellowstone National Park,Wyoming,4.2,2.5,41.8,1,out and back,4.5,7,44.14487,-110.99756000000001
10315068,Teton Canyon to Jenny Lake,Grand Teton National Park,Wyoming,4.1,21.3,1315.8,5,point to point,4.5,11,43.75596,-110.91551
10292089,Black Warrior Lake and Firehole Lake,Yellowstone National Park,Wyoming,4.1,0.4,2.7,1,loop,4.0,5,44.54427,-110.78514
10492355,Hanging Canyon to Lake of the Crags,Grand Teton National Park,Wyoming,4.1,7.9,933.9,5,out and back,5.0,8,43.78382,-110.72882
10288969,Teton Canyon to Phelps Lake via Alaska Basin Trail,Grand Teton National Park,Wyoming,4.0,20.1,1291.7,7,point to point,5.0,4,43.75571,-110.91539
10259174,Mary Mountain-Nez Pierce Trail,Yellowstone National Park,Wyoming,4.0,19.5,317.9,3,out and back,3.5,9,44.68354,-110.49365
10026860,Bighorn Pass Trail from US 191,Yellowstone National Park,Wyoming,4.0,19.8,639.8,3,point to point,4.5,4,44.92807,-111.04901
10042942,Clagett Butte - Snow Pass Loop,Yellowstone National Park,Wyoming,4.0,4.7,379.8,3,loop,4.5,8,44.97374,-110.70439
10009936,Pelican Valley Trail,Yellowstone National Park,Wyoming,3.9,15.7,432.8,3,point to point,4.0,9,44.55984,-110.31872
10013552,Webb Canyon Trail-Moose Basin Divide-Owl Creek Canyon,Grand Teton National Park,Wyoming,3.9,31.2,1498.7,5,loop,4.0,1,44.08943,-110.72416
10032780,Wyoming Centennial Scenic Byway (North): Moran Junction to Dubois,Grand Teton National Park,Wyoming,3.8,55.5,1229.9,3,point to point,5.0,3,43.84152,-110.50777
10029736,Teton Valley Trail,Grand Teton National Park,Wyoming,3.8,15.5,744.9,3,point to point,3.5,13,43.73452,-110.74156
10301042,Aspen Ridge Trail,Grand Teton National Park,Wyoming,3.8,5.7,237.7,3,loop,4.5,4,43.62651,-110.77385
10259198,Crevice Lake Trail,Yellowstone National Park,Wyoming,3.8,9.1,479.8,3,out and back,4.5,11,44.95544,-110.59361
10351377,Granite Canyon to the Tram,Grand Teton National Park,Wyoming,3.7,13.2,1462.7,5,point to point,4.5,7,43.58867,-110.82754
10035688,Beula Lake Trail,Yellowstone National Park,Wyoming,3.7,5.3,203.0,3,out and back,4.0,3,44.12557,-110.78638
10012767,Thunderer Cutoff Trail,Yellowstone National Park,Wyoming,3.5,9.8,966.8,5,out and back,4.5,7,44.92177,-110.09519
10259193,Chain of Lakes,Yellowstone National Park,Wyoming,3.5,10.7,209.7,3,point to point,4.0,5,44.71689,-110.63401
10004293,Fawn Pass Trail,Yellowstone National Park,Wyoming,3.5,20.3,763.8,5,point to point,4.5,7,44.95067,-111.05895
10010511,Gneiss Creek Trail,Yellowstone National Park,Wyoming,3.5,13.9,210.9,3,point to point,3.5,16,44.79619,-111.10323
10259197,Rescue Creek Trail,Yellowstone National Park,Wyoming,3.4,16.0,663.9,3,out and back,4.0,10,44.95541,-110.59359
10258761,Howard Eaton Trail,Yellowstone National Park,Wyoming,3.3,13.4,325.8,3,point to point,3.5,3,44.56686,-110.37337
10259175,Wrangler Lake Trail,Yellowstone National Park,Wyoming,3.3,8.0,157.0,3,out and back,4.0,5,44.70766,-110.50035
10485199,South Fork Cascade Canyon to Hurricane Pass,Grand Teton National Park,Wyoming,3.3,18.1,1073.8,7,out and back,5.0,4,43.76719,-110.74422
10332867,"Teton Canyon to Phelps Lake via Alaska Basin, Teton Crest, and Death Canyon Trails",Grand Teton National Park,Wyoming,3.3,23.2,1118.9,5,point to point,4.5,6,43.75569,-110.91538
10235715,Snake River South Boundary Loop,Yellowstone National Park,Wyoming,3.2,27.5,579.7,3,loop,3.0,1,44.13698,-110.66593
10467172,"Jade,  Upper Brooks, Rainbow Lakes Loop",Grand Teton National Park,Wyoming,3.2,8.9,273.7,3,loop,5.0,7,43.75188,-110.00698
10023962,Gros Ventre Slide: Bridger-Teton National Forest,Grand Teton National Park,Wyoming,3.2,12.7,278.0,1,point to point,3.5,3,43.5743,-110.73319
10494956,Howard Eaton/Lone Star Trail,Yellowstone National Park,Wyoming,3.2,5.6,167.9,3,point to point,4.5,10,44.45363,-110.82961
10426293,Grebe Lake via Cascade Creek Trail,Yellowstone National Park,Wyoming,3.2,9.8,193.9,3,out and back,5.0,7,44.7352,-110.50336
10041085,Agate Creek Trail,Yellowstone National Park,Wyoming,3.1,14.5,916.8,5,out and back,4.5,5,44.91681,-110.40057
10004827,Pelican Creek Loop Trail,Yellowstone National Park,Wyoming,3.1,31.4,600.8,3,loop,4.0,4,44.56014,-110.31741
10498105,Buck Mountain Summit,Grand Teton National Park,Wyoming,3.1,9.2,1564.8,7,out and back,4.0,7,43.65579,-110.78021
10041994,Grizzly Lake Trail,Yellowstone National Park,Wyoming,3.1,7.9,343.8,3,out and back,2.5,3,44.79896,-110.74525
